actual,probability,cum_fraud,gain
0,7.808556e-05,12,100.0
0,7.766346e-05,12,100.0
0,7.755578e-05,12,100.0
0,7.7539145e-05,12,100.0
0,7.6053366e-05,12,100.0
0,7.6008844e-05,12,100.0
0,7.594625e-05,12,100.0
0,7.585107e-05,12,100.0
0,7.579966e-05,12,100.0
0,7.5530166e-05,12,100.0
0,7.536095e-05,12,100.0
0,7.51557e-05,12,100.0
0,7.4755e-05,12,100.0
0,7.472214e-05,12,100.0
0,7.462487e-05,12,100.0
0,7.45418e-05,12,100.0
0,7.447032e-05,12,100.0
0,7.423372e-05,12,100.0
0,7.420498e-05,12,100.0
0,7.398785e-05,12,100.0
0,7.3777686e-05,12,100.0
0,7.374259e-05,12,100.0
0,7.3537325e-05,12,100.0
0,7.319263e-05,12,100.0
0,7.31592e-05,12,100.0
0,7.305763e-05,12,100.0
0,7.300546e-05,12,100.0
0,7.294499e-05,12,100.0
0,7.286553e-05,12,100.0
0,7.266097e-05,12,100.0
0,7.2646006e-05,12,100.0
0,7.2425486e-05,12,100.0
0,7.234942e-05,12,100.0
0,7.229439e-05,12,100.0
0,7.223078e-05,12,100.0
0,7.21492e-05,12,100.0
0,7.195819e-05,12,100.0
0,7.1819704e-05,12,100.0
0,7.150802e-05,12,100.0
0,7.125887e-05,12,100.0
0,7.078465e-05,12,100.0
0,7.063759e-05,12,100.0
0,7.0323375e-05,12,100.0
0,7.0289585e-05,12,100.0
0,7.0271555e-05,12,100.0
0,7.024516e-05,12,100.0
0,6.979099e-05,12,100.0
0,6.96915e-05,12,100.0
0,6.920751e-05,12,100.0
0,6.917274e-05,12,100.0
0,6.893134e-05,12,100.0
0,6.8703426e-05,12,100.0
0,6.868718e-05,12,100.0
0,6.868266e-05,12,100.0
0,6.8441725e-05,12,100.0
0,6.844114e-05,12,100.0
0,6.8255904e-05,12,100.0
0,6.81239e-05,12,100.0
0,6.808156e-05,12,100.0
0,6.8029316e-05,12,100.0
0,6.791277e-05,12,100.0
0,6.788299e-05,12,100.0
0,6.778066e-05,12,100.0
0,6.745837e-05,12,100.0
0,6.738656e-05,12,100.0
0,6.736696e-05,12,100.0
0,6.725931e-05,12,100.0
0,6.724251e-05,12,100.0
0,6.704805e-05,12,100.0
0,6.6870285e-05,12,100.0
0,6.668269e-05,12,100.0
0,6.6400185e-05,12,100.0
0,6.6360364e-05,12,100.0
0,6.6224515e-05,12,100.0
0,6.617686e-05,12,100.0
0,6.61595e-05,12,100.0
0,6.6132125e-05,12,100.0
0,6.6098335e-05,12,100.0
0,6.601858e-05,12,100.0
0,6.583538e-05,12,100.0
0,6.5733126e-05,12,100.0
0,6.564418e-05,12,100.0
0,6.559224e-05,12,100.0
0,6.555785e-05,12,100.0
0,6.501874e-05,12,100.0
0,6.487536e-05,12,100.0
0,6.471774e-05,12,100.0
0,6.460576e-05,12,100.0
0,6.458648e-05,12,100.0
0,6.453335e-05,12,100.0
0,6.4348074e-05,12,100.0
0,6.4201704e-05,12,100.0
0,6.339837e-05,12,100.0
0,6.33913e-05,12,100.0
0,6.329574e-05,12,100.0
0,6.3272804e-05,12,100.0
0,6.317236e-05,12,100.0
0,6.285149e-05,12,100.0
0,6.277727e-05,12,100.0
0,6.2717016e-05,12,100.0
0,6.247854e-05,12,100.0
0,6.242149e-05,12,100.0
0,6.2266314e-05,12,100.0
0,6.2263345e-05,12,100.0
0,6.210206e-05,12,100.0
0,6.206375e-05,12,100.0
0,6.202683e-05,12,100.0
0,6.199011e-05,12,100.0
0,6.179316e-05,12,100.0
0,6.123933e-05,12,100.0
0,6.1131206e-05,12,100.0
0,6.1013037e-05,12,100.0
0,6.087728e-05,12,100.0
0,6.0864273e-05,12,100.0
0,6.0813683e-05,12,100.0
0,6.071292e-05,12,100.0
